year mo dy flow_cfs
1930 04 16 9940
1930 04 17 7980
1930 04 18 7080
1930 04 19 7080
1930 04 20 7080
1930 04 21 7980
1930 04 22 9540
1930 04 23 11200
1930 04 24 13300
1930 04 25 14600
1930 04 26 14200
1930 04 27 13300
1930 04 28 12400
1930 04 29 11800
1930 04 30 10300
1930 05 01 10300
1930 05 02 9940
1930 05 03 12400
1930 05 04 13100
1930 05 05 11600
1930 05 06 10900
1930 05 07 9940
1930 05 08 8750
1930 05 09 7800
1930 05 10 7080
1930 05 11 6390
1930 05 12 5890
1930 05 13 5890
1930 05 14 6390
1930 05 15 7620
1930 05 16 8750
1930 05 17 9340
1930 05 18 10100
1930 05 19 9540
1930 05 20 8940
1930 05 21 10700
1930 05 22 9740
1930 05 23 8360
1930 05 24 7620
1930 05 25 7440
1930 05 26 7260
1930 05 27 7260
1930 05 28 8180
1930 05 29 10700
1930 05 30 13100
1930 05 31 13500
1930 06 01 11200
1930 06 02 9340
1930 06 03 8940
1930 06 04 8750
1930 06 05 8180
1930 06 06 7980
1930 06 07 8360
1930 06 08 9740
1930 06 09 10100
1930 06 10 9740
1930 06 11 10100
1930 06 12 9740
1930 06 13 8360
1930 06 14 6370
1930 06 15 5840
1930 06 16 5720
1930 06 17 6220
1930 06 18 6220
1930 06 19 5560
1930 06 20 5240
1930 06 21 5400
1930 06 22 5240
1930 06 23 4940
1930 06 24 4630
1930 06 25 4180
1930 06 26 4040
1930 06 27 3760
1930 06 28 3900
1930 06 29 3760
1930 06 30 3360
1930 07 01 3110
1930 07 02 3110
1930 07 03 2990
1930 07 04 2870
1930 07 05 2640
1930 07 06 2520
1930 07 07 2420
1930 07 08 2310
1930 07 09 2210
1930 07 10 2210
1930 07 11 2110
1930 07 12 2060
1930 07 13 1960
1930 07 14 1870
1930 07 15 1730
1930 07 16 1680
1930 07 17 1600
1930 07 18 1550
1930 07 19 1680
1930 07 20 1680
1930 07 21 1550
1930 07 22 1460
1930 07 23 1380
1930 07 24 1340
1930 07 25 1250
1930 07 26 1210
1930 07 27 1170
1930 07 28 1090
1930 07 29 1050
1930 07 30 1010
1930 07 31 973
1930 08 01 936
1930 08 02 892
1930 08 03 878
1930 08 04 842
1930 08 05 828
1930 08 06 808
1930 08 07 774
1930 08 08 760
1930 08 09 747
1930 08 10 716
1930 08 11 716
1930 08 12 703
1930 08 13 691
1930 08 14 680
1930 08 15 674
1930 08 16 674
1930 08 17 668
1930 08 18 646
1930 08 19 651
1930 08 20 657
1930 08 21 651
1930 08 22 640
1930 08 23 619
1930 08 24 609
1930 08 25 588
1930 08 26 579
1930 08 27 570
1930 08 28 556
1930 08 29 547
1930 08 30 542
1930 08 31 547
1930 09 01 560
1930 09 02 538
1930 09 03 525
1930 09 04 508
1930 09 05 500
1930 09 06 496
1930 09 07 492
1930 09 08 488
1930 09 09 508
1930 09 10 521
1930 09 11 508
1930 09 12 538
1930 09 13 570
1930 09 14 651
1930 09 15 630
1930 09 16 579
1930 09 17 547
1930 09 18 534
1930 09 19 517
1930 09 20 513
1930 09 21 508
1930 09 22 521
1930 09 23 614
1930 09 24 686
1930 09 25 657
1930 09 26 635
1930 09 27 614
1930 09 28 599
1930 09 29 593
1930 09 30 588
1930 10 01 500
1930 10 02 500
1930 10 03 500
1930 10 04 500
1930 10 05 500
1930 10 06 850
1930 10 07 850
1930 10 08 850
1930 10 09 850
1930 10 10 850
1930 10 11 850
1930 10 12 1300
1930 10 13 1300
1930 10 14 1300
1930 10 15 1300
1930 10 16 1300
1930 10 17 1300
1930 10 18 1300
1930 10 19 849
1930 10 20 871
1930 10 21 864
1930 10 22 842
1930 10 23 828
1930 10 24 821
1930 10 25 842
1930 10 26 849
1930 10 27 1050
1930 10 28 1170
1930 10 29 1010
1930 10 30 973
1930 10 31 899
1930 11 01 864
1930 11 02 828
1930 11 03 808
1930 11 04 774
1930 11 05 760
1930 11 06 747
1930 11 07 722
1930 11 08 703
1930 11 09 697
1930 11 10 697
1930 11 11 741
1930 11 12 1170
1930 11 13 1510
1930 11 14 1550
1930 11 15 1460
1930 11 16 1420
1930 11 17 1420
